sample_id	gene_name	target_id	target_type	gene_vl
RN00334078	CDH1	cg01251360	T	0.159199
RN00334078	IGF1R	cg01254903	T	0.967865
RN00334078	GATA3	cg01255894	T	0.0857029
RN00334078	EGFR	cg01280018	T	0.148002
RN00334078	NOTCH3	cg01282080	T	0.868432
RN00334078	IGF1R	cg01284192	T	0.917293
RN00334078	NEUROD2	cg01293647	T	0.154963
RN00334078	MET	cg01297639	T	0.928925
RN00334078	ALK	cg01297921	T	0.104528
RN00334078	CREBBP	cg01312837	T	0.627658
RN00334078	ARID1B	cg01338705	T	0.949865
RN00334078	EGFR	cg01342729	T	0.435066
RN00334078	ALK	cg01349615	T	0.652434
RN00334078	PTEN	cg01354923	T	0.0361132
RN00334078	CREBBP	cg01383349	T	0.902057
RN00334078	CCND1	cg01390647	T	0.901449
RN00334078	CCND1	cg01406280	T	0.0387237
RN00334078	ALK	cg01412762	T	0.755097
RN00334078	EGFR	cg01461514	T	0.250748
RN00334078	NOTCH3	cg01483459	T	0.929219
RN00334078	ARID1B	cg01484950	T	0.96691
RN00334078	EGFR	cg01501474	T	0.0371582
RN00334078	GATA3	cg01522692	T	0.940589
RN00334078	CREBBP	cg01536668	T	0.905965
RN00334078	ARID1B	cg01541650	T	0.352388
RN00334078	ARID1B	cg01549576	T	0.727495
RN00334078	LPAR6	cg01559904	T	0.722902
RN00334078	ARID3B	cg01570086	T	0.0266993
RN00334078	MET	cg01577980	T	0.95402
RN00334078	BRCA1	cg01587050	T	0.019179
RN00334078	CREBBP	cg01591591	T	0.315514
RN00334078	TP53	cg01620719	T	0.0362438
RN00334078	IGF1R	cg01631855	T	0.082019
RN00334078	ALK	cg01638574	T	0.894092
RN00334078	NOTCH3	cg01643250	T	0.955142
RN00334078	ARID1B	cg01650747	T	0.185365
RN00334078	EGFR	cg01664172	T	0.306031
RN00334078	MAP2K4	cg01678692	T	0.938357
RN00334078	ARID3B	cg01687103	T	0.962852
RN00334078	AKT1	cg01694276	T	0.943964
RN00334078	CDKN2A	cg01694391	T	0.0979206
RN00334078	CDH1	cg01698880	T	0.0368134
RN00334078	CDKN2B	cg01716061	T	0.0446425
RN00334078	RB1	cg01738359	T	0.0456495
RN00334078	PTEN	cg01740552	T	0.973083
RN00334078	ARID1B	cg01745465	T	0.640562
RN00334078	AKT1	cg01749142	T	0.0978657
RN00334078	PIK3CA	cg01753796	T	0.0812897
RN00334078	ATM	cg01756564	T	0.0459471
RN00334078	MET	cg01777212	T	0.776216
RN00334078	PIK3CA	cg01792902	T	0.0480846
RN00334078	ATM	cg01800843	T	0.0235413
RN00334078	NOTCH3	cg01814364	T	0.960792
RN00334078	ALK	cg01825052	T	0.928889
RN00334078	CDH1	cg01857829	T	0.0363725
RN00334078	CASC11	cg01861804	T	0.0242544
RN00334078	CTCF	cg01866162	T	0.028711
RN00334078	BRCA1	cg01879757	T	0.867869
RN00334078	EGFR	cg01895259	T	0.640355
RN00334078	RAF1	cg01907726	T	0.933972
RN00334078	MET	cg01921059	T	0.873906
RN00334078	AKT1	cg01921845	T	0.968066
RN00334078	ARID1A	cg01948671	T	0.952601
RN00334078	ERBB2	cg01959640	T	0.657568
RN00334078	CREBBP	cg01963870	T	0.972884
RN00334078	EGFR	cg01965822	T	0.0836123
RN00334078	MAP2K4	cg01987892	T	0.786431
RN00334078	ATM	cg01991180	T	0.12277
RN00334078	EGFR	cg02003682	T	0.921847
RN00334078	CDKN2A	cg02008397	T	0.0344566
RN00334078	EGFR	cg02017820	T	0.619495
RN00334078	ERBB2	cg02023717	T	0.936451
RN00334078	TP53	cg02045224	T	0.0413906
RN00334078	PIK3CA	cg02056280	T	0.044912
RN00334078	IGF1R	cg02066693	T	0.885967
RN00334078	ARID1B	cg02068883	T	0.413377
RN00334078	AKT1	cg02072813	T	0.941915
RN00334078	TP53	cg02087342	T	0.589906
RN00334078	ATM	cg02105423	T	0.0475386
RN00334078	TEX14	cg02110529	T	0.549657
RN00334078	RB1	cg02113449	T	0.0477208
RN00334078	RAD51C	cg02118635	T	0.0392313
RN00334078	NOTCH3	cg02130601	T	0.847724
RN00334078	ARID1B	cg02142382	T	0.960918
RN00334078	ALK	cg02148796	T	0.713835
RN00334078	ARID1B	cg02150218	T	0.5902
RN00334078	RB1	cg02152992	T	0.0551313
RN00334078	ALK	cg02165692	T	0.698444
RN00334078	TP53	cg02166782	T	0.0452475
RN00334078	EGFR	cg02166842	T	0.440423
RN00334078	ARID1A	cg02172395	T	0.0410311
RN00334078	MDM2	cg02173161	T	0.971215
RN00334078	BRCA1	cg02173360	T	0.92037
RN00334078	CTCF	cg02215945	T	0.05542
RN00334078	ALK	cg02223435	T	0.900688
RN00334078	ARID1B	cg02247625	T	0.974688
RN00334078	CCND1	cg02255700	T	0.106498
RN00334078	PTEN	cg02261018	T	0.0465356
RN00334078	NOTCH3	cg02272795	T	0.957402
RN00334078	BRCA1	cg02286533	T	0.45989
RN00334078	ARID1B	cg02292367	T	0.542805
RN00334078	NOTCH3	cg02294312	T	0.942967
RN00334078	AKT1	cg02313172	T	0.94973
RN00334078	ERBB2	cg02330892	T	0.025772
RN00334078	CREBBP	cg02350295	T	0.961217
RN00334078	ALK	cg02355885	T	0.045634
RN00334078	ARID3B	cg02384859	T	0.966056
RN00334078	CDKN2B	cg02400248	T	0.0363879
RN00334078	RAF1	cg02420927	T	0.344803
RN00334078	ERBB2	cg02433278	T	0.0942822
RN00334078	AKT1	cg02506606	T	0.807043
RN00334078	ATM	cg02511767	T	0.929683
RN00334078	CREBBP	cg02512806	T	0.755906
RN00334078	MET	cg02526950	T	0.167364
RN00334078	EGFR	cg02535746	T	0.946013
RN00334078	CREBBP	cg02578162	T	0.92249
RN00334078	NOTCH3	cg02584678	T	0.238337
RN00334078	ALK	cg02607441	T	0.975727
RN00334078	IGF1R	cg02613818	T	0.930935
RN00334078	CDKN2B	cg02651953	T	0.0305638
RN00334078	ARID1B	cg02662417	T	0.909548
RN00334078	ARID1B	cg02671826	T	0.967439
RN00334078	WRAP53	cg02690969	T	0.0509274
RN00334078	CCND1	cg02694676	T	0.0384523
RN00334078	IGF1R	cg02712545	T	0.64148
RN00334078	CREBBP	cg02717454	T	0.247944
RN00334078	CCND1	cg02723533	T	0.602927
RN00334078	MET	cg02726729	T	0.929901
RN00334078	IGF1R	cg02734408	T	0.899165
RN00334078	PALB2	cg02735133	T	0.0325049
RN00334078	ARHGAP31	cg02745009	T	0.588497
RN00334078	MAP2K4	cg02746232	T	0.857737
RN00334078	CCND1	cg02753511	T	0.566642
RN00334078	RAD51C	cg02762573	T	0.876752
RN00334078	MDM2	cg02762637	T	0.767724
RN00334078	IGF1R	cg02826739	T	0.957135
RN00334078	RAF1	cg02830576	T	0.269379
RN00334078	TP53	cg02842899	T	0.0224777
RN00334078	WRAP53	cg02855142	T	0.0279977
RN00334078	AKT1	cg02884928	T	0.356314
RN00334078	NOTCH3	cg02904605	T	0.863428
RN00334078	EGFR	cg02929993	T	0.168336
RN00334078	ARID3B	cg02933882	T	0.911257
RN00334078	ATM	cg02941979	T	0.946824
RN00334078	ARHGAP31	cg02954304	T	0.814116
RN00334078	AKT1	cg02956093	T	0.0894565
RN00334078	RB1	cg02978827	T	0.0330855
RN00334078	MYC	cg03003858	T	0.0322335
RN00334078	CDKN2B	cg03006549	T	0.024671
RN00334078	EGFR	cg03017407	T	0.418352
RN00334078	CREBBP	cg03039399	T	0.0603149
RN00334078	CCND1	cg03040489	T	0.89552
RN00334078	EGFR	cg03046247	T	0.918403
RN00334078	MAP2K4	cg03056584	T	0.837414
RN00334078	MYC	cg03076047	T	0.0548931
RN00334078	CDKN2A	cg03079681	T	0.0549286
RN00334078	MDM2	cg03080426	T	0.163003
RN00334078	RB1	cg03085377	T	0.927188
RN00334078	NOTCH3	cg03085666	T	0.95838
RN00334078	ATM	cg03092399	T	0.915934
RN00334078	NEUROD2	cg03094519	T	0.0625
RN00334078	NBR1	cg03119752	T	0.0162207
RN00334078	ARID1A	cg03123091	T	0.455485
RN00334078	LPAR6	cg03126694	T	0.809283
RN00334078	CREBBP	cg03140190	T	0.904202
RN00334078	CREBBP	cg03150319	T	0.895766
RN00334078	CDGAP	cg03163831	T	0.949429
RN00334078	ATM	cg03165700	T	0.0289953
RN00334078	PTEN	cg03214660	T	0.0207265
RN00334078	EGFR	cg03225051	T	0.906209
RN00334078	PTEN	cg03236184	T	0.0542039
RN00334078	IGF1R	cg03240696	T	0.737995
RN00334078	CREBBP	cg03247739	T	0.630992
RN00334078	CDK4	cg03249863	T	0.862703
RN00334078	EGFR	cg03253704	T	0.385054
RN00334078	PALB2	cg03256910	T	0.953738
RN00334078	CREBBP	cg03264209	T	0.400325
RN00334078	ATM	cg03272798	T	0.860127
RN00334078	IGF1R	cg03310087	T	0.940712
RN00334078	TP53	cg03321861	T	0.969847
RN00334078	RAF1	cg03330972	T	0.968233
RN00334078	CCND1	cg03364015	T	0.0978821
RN00334078	CREBBP	cg03368634	T	0.543338
RN00334078	IGF1R	cg03380198	T	0.519425
RN00334078	ARID1B	cg03384047	T	0.144388
RN00334078	ERBB2	cg03386751	T	0.063053
RN00334078	PTEN	cg03393195	T	0.965343
RN00334078	ERBB3	cg03406674	T	0.933736
RN00334078	ERBB3	cg03437318	T	0.0331157
RN00334078	IGF1R	cg03437748	T	0.0448995
RN00334078	ARID3B	cg03451108	T	0.604757
RN00334078	RB1	cg03460032	T	0.900721
RN00334078	CREBBP	cg03472539	T	0.742936
RN00334078	MYC	cg03498895	T	0.0914788
RN00334078	IGF1R	cg03540975	T	0.925137
RN00334078	ARID1B	cg03561416	T	0.412498
RN00334078	EGFR-AS1	cg03565206	T	0.908823
RN00334078	ATM	cg03569616	T	0.0580838
RN00334078	NEUROD2	cg03569748	T	0.0577962
RN00334078	PTEN	cg03588460	T	0.0487606
RN00334078	PTEN	cg03592135	T	0.866059
RN00334078	ALK	cg03602297	T	0.83615
RN00334078	RAF1	cg03620600	T	0.814107
RN00334078	9.Mar	cg03638940	T	0.0689834
RN00334078	MAP2K4	cg03643423	T	0.85981
RN00334078	LPAR6	cg03646329	T	0.061433
RN00334078	ALK	cg03647701	T	0.9295
RN00334078	GATA3	cg03669298	T	0.0555809
RN00334078	NBR1	cg03670158	T	0.0772102
RN00334078	FLJ45983	cg03672342	T	0.854465
RN00334078	NEUROD2	cg03679521	T	0.130092
RN00334078	NEUROD2	cg03709307	T	0.196689
RN00334078	MET	cg03718885	T	0.922495
RN00334078	CREBBP	cg03722044	T	0.235645
RN00334078	IGF1R	cg03724844	T	0.221931
RN00334078	CCND1	cg03735308	T	0.0493599
RN00334078	CREBBP	cg03761291	T	0.825055
RN00334078	NOTCH3	cg03764976	T	0.738814
RN00334078	NOTCH3	cg03773731	T	0.529867
RN00334078	BRCA2	cg03777697	T	0.742419
RN00334078	PTEN	cg03784654	T	0.868469
RN00334078	IGF1R	cg03795574	T	0.231962
RN00334078	CTCF	cg03821880	T	0.0253842
RN00334078	CDK4	cg03829839	T	0.162962
RN00334078	EGFR	cg03860890	T	0.126748
RN00334078	CREBBP	cg03879109	T	0.80845
RN00334078	PTEN	cg03891929	T	0.0233454
RN00334078	GATA3	cg03935183	T	0.212838
RN00334078	RAF1	cg04009117	T	0.925645
RN00334078	CDKN2B-AS1	cg04011266	T	0.488543
RN00334078	PTEN	cg04015463	T	0.919387
RN00334078	RAF1	cg04016443	T	0.931388
RN00334078	CDKN2A	cg04026675	T	0.344358
RN00334078	PALB2	cg04035070	T	0.0271782
RN00334078	ERBB2	cg04048710	T	0.30372
RN00334078	FLJ45983	cg04050331	T	0.0241442
RN00334078	PTEN	cg04059318	T	0.0415106
RN00334078	CREBBP	cg04071758	T	0.58898
RN00334078	ARID1A	cg04081153	T	0.0749592
RN00334078	ARID1B	cg04083226	T	0.928081
RN00334078	EGFR	cg04103122	T	0.957671
RN00334078	NBR2	cg04110421	T	0.0283882
RN00334078	EGFR	cg04116217	T	0.911664
RN00334078	ARID1B	cg04122287	T	0.689526
RN00334078	IGF1R	cg04140807	T	0.555044
RN00334078	CREBBP	cg04141008	T	0.512061
RN00334078	MET	cg04147428	T	0.909097
RN00334078	EGFR	cg04156940	T	0.942834
RN00334078	NBR1	cg04193083	T	0.0426892
RN00334078	GATA3	cg04213746	T	0.60732
RN00334078	IGF1R	cg04226547	T	0.95057
RN00334078	LPAR6	cg04249993	T	0.927764
RN00334078	NBR2	cg04251543	T	0.943042
RN00334078	ARID1B	cg04252362	T	0.433737
RN00334078	MDM2	cg04252939	T	0.716613
RN00334078	ELDR	cg04288063	T	0.0577249
RN00334078	AKT1	cg04297581	T	0.79638
RN00334078	ARID1B	cg04306184	T	0.805189
RN00334078	CREBBP	cg04336433	T	0.892695
RN00334078	9.Mar	cg04351668	T	0.125552
RN00334078	AKT1	cg04352704	T	0.845031
RN00334078	ALK	cg04353985	T	0.944661
RN00334078	ARID1A	cg04360147	T	0.0499403
RN00334078	ARID1B	cg04378942	T	0.934449
RN00334078	IGF1R	cg04385934	T	0.0597641
RN00334078	CDH1	cg04398983	T	0.0720947
RN00334078	TP53	cg04405586	T	0.727226
RN00334078	CREBBP	cg04432137	T	0.875937
RN00334078	MET	cg04432493	T	0.195779
RN00334078	MDM2	cg04444394	T	0.286341
RN00334078	ARID1B	cg04491612	T	0.903506
RN00334078	GATA3	cg04492228	T	0.0556006
RN00334078	ATM	cg04544994	T	0.774531
RN00334078	CTCF	cg04545079	T	0.809208
RN00334078	ARID1B	cg04550264	T	0.602021
RN00334078	NEUROD2	cg04555982	T	0.0380347
RN00334078	CDKN2A	cg04568995	T	0.916959
RN00334078	BRCA1	cg04582861	T	0.0880337
RN00334078	ARID1A	cg04594619	T	0.0946687
RN00334078	ARID1B	cg04606397	T	0.625437
RN00334078	ARID3B	cg04614885	T	0.0282896
RN00334078	PTEN	cg04616691	T	0.0267783
RN00334078	EGFR	cg04625338	T	0.640778
RN00334078	EGFR	cg04638746	T	0.967071
RN00334078	PTEN	cg04638773	T	0.91646
RN00334078	FLJ45983	cg04641787	T	0.0619794
RN00334078	ERBB2	cg04656889	T	0.401737
RN00334078	NBR2	cg04658354	T	0.0233756
RN00334078	ALK	cg04659901	T	0.960249
RN00334078	PTEN	cg04664516	T	0.953083
RN00334078	MDM2	cg04667586	T	0.0460519
RN00334078	EGFR	cg04699470	T	0.971026
RN00334078	ATM	cg04709886	T	0.0335897
RN00334078	CCND1	cg04717045	T	0.556992
RN00334078	ARID1B	cg04721711	T	0.953117
RN00334078	FLJ45983	cg04729913	T	0.689948
RN00334078	MDM2	cg04732910	T	0.0486993
RN00334078	PTEN	cg04738091	T	0.0316249
RN00334078	KLLN	cg04743007	T	0.130056
RN00334078	FLJ45983	cg04765277	T	0.745177
RN00334078	ATM	cg04770025	T	0.96062
RN00334078	ARID1B	cg04792644	T	0.970972
RN00334078	ERBB3	cg04794420	T	0.0615987
RN00334078	PTEN	cg04810794	T	0.906731
RN00334078	CREBBP	cg04818078	T	0.0537811
RN00334078	AKT1	cg04820159	T	0.605616
RN00334078	ALK	cg04824255	T	0.830319
RN00334078	PTEN	cg04824711	T	0.0333881
RN00334078	ATM	cg04826772	T	0.0422544
RN00334078	CREBBP	cg04850976	T	0.860665
RN00334078	CDH1	cg04853319	T	0.946791
RN00334078	ARID1B	cg04875704	T	0.931636
RN00334078	ARID1A	cg04891803	T	0.739112
RN00334078	ARID1B	cg04924555	T	0.420737
RN00334078	ARID1B	cg04949193	T	0.8856
RN00334078	DCTN5	cg04961445	T	0.0522794
RN00334078	AKT1	cg04971812	T	0.60904
RN00334078	MET	cg04973680	T	0.928003
RN00334078	ARID1B	cg04978300	T	0.824171
RN00334078	CREBBP	cg04979551	T	0.927404
RN00334078	FLJ45983	cg04982951	T	0.0436135
RN00334078	CREBBP	cg04996852	T	0.0413304
RN00334078	DCTN5	cg05002041	T	0.18616
RN00334078	ARID1B	cg05002580	T	0.971732
RN00334078	RB1	cg05026473	T	0.923656
RN00334078	ATM	cg05033322	T	0.0263968
RN00334078	EGFR	cg05064645	T	0.0377326
RN00334078	FLJ45983	cg05071898	T	0.0358279
RN00334078	IGF1R	cg05075416	T	0.768941
RN00334078	MDM2	cg05085337	T	0.0316332
RN00334078	EGFR	cg05098023	T	0.944173
RN00334078	ARID1B	cg05099063	T	0.963799
RN00334078	IGF1R	cg05103581	T	0.743866
RN00334078	IGF1R	cg05110803	T	0.722743
RN00334078	MDM2	cg05111885	T	0.898865
RN00334078	CREBBP	cg05151055	T	0.90299
RN00334078	BRCA2	cg05153735	T	0.0346616
RN00334078	ARID1B	cg05160248	T	0.911151
RN00334078	CCND1	cg05164185	T	0.126565
RN00334078	IGF1R	cg05169988	T	0.478843
RN00334078	CREBBP	cg05194552	T	0.855532
RN00334078	CCND1	cg05200606	T	0.0503141
RN00334078	ERBB3	cg05207107	T	0.61354
RN00334078	EGFR	cg05207583	T	0.720456
RN00334078	TEX14	cg05214530	T	0.0704103
RN00334078	ATM	cg05231509	T	0.0354019
RN00334078	EGFR	cg05246100	T	0.712713
RN00334078	ARID1B	cg05287257	T	0.933818
RN00334078	ARID1A	cg05300440	T	0.891693
RN00334078	CDH1	cg05303053	T	0.263434
RN00334078	CDKN2A	cg05303981	T	0.0698608
RN00334078	ARID1A	cg05307957	T	0.0571539
RN00334078	NEUROD2	cg05347537	T	0.0544371
RN00334078	WRAP53	cg05348746	T	0.0265552
RN00334078	FLJ45983	cg05356738	T	0.0473095
RN00334078	NBR1	cg05368731	T	0.264908
RN00334078	MAP2K4	cg05423495	T	0.969116
RN00334078	ALK	cg05437741	T	0.0824831
RN00334078	NEUROD2	cg05458408	T	0.557431
RN00334078	ARHGAP31	cg05463669	T	0.249445
RN00334078	ARID1B	cg05466469	T	0.780315
RN00334078	ATM	cg05471373	T	0.708104
RN00334078	WRAP53	cg05479194	T	0.0537394
RN00334078	ERBB2	cg05512684	T	0.556979
RN00334078	EGFR	cg05530630	T	0.961491
RN00334078	EGFR	cg05537387	T	0.468141
RN00334078	IGF1R	cg05540221	T	0.881359
RN00334078	ARID1B	cg05540473	T	0.956949
RN00334078	ATM	cg05548334	T	0.919597
RN00334078	ARID1A	cg05548749	T	0.808342
RN00334078	CREBBP	cg05557932	T	0.063488
RN00334078	MET	cg05567468	T	0.794999
RN00334078	AKT1	cg05616442	T	0.0423239
RN00334078	ERBB2	cg05616858	T	0.381625
RN00334078	ATM	cg05637308	T	0.0330998
RN00334078	ARID1A	cg05649922	T	0.209568
RN00334078	FLJ45983	cg05671070	T	0.0291028
RN00334078	NOTCH3	cg05682965	T	0.969522
RN00334078	IGF1R	cg05688739	T	0.256496
RN00334078	ALK	cg05716702	T	0.821457
RN00334078	MAP2K4	cg05721377	T	0.0481896
RN00334078	FLJ45983	cg05721515	T	0.363317
RN00334078	AKT1	cg05726935	T	0.452613
RN00334078	MET	cg05727605	T	0.350477
RN00334078	ARHGAP31	cg05749408	T	0.859072
RN00334078	ARID3B	cg05754688	T	0.0448221
RN00334078	BRCA1	cg05758696	T	0.960828
RN00334078	IGF1R	cg05781698	T	0.946147
RN00334078	CDH1	cg05785947	T	0.0343285
RN00334078	MET	cg05801992	T	0.0406796
RN00334078	BRCA1	cg05815247	T	0.878818
RN00334078	IGF1R	cg05855048	T	0.235574
RN00334078	ARHGAP31	cg05855306	T	0.895259
RN00334078	MAP2K4	cg05865769	T	0.387424
RN00334078	IGF1R	cg05885455	T	0.957941
RN00334078	ARHGAP31	cg05892962	T	0.887263
RN00334078	CDGAP	cg05894970	T	0.107822
RN00334078	EGFR	cg05898452	T	0.641907
RN00334078	CREBBP	cg05898629	T	0.924292
RN00334078	ARID3B	cg05914119	T	0.970687
RN00334078	IGF1R	cg05920405	T	0.96724
RN00334078	MYC	cg05927173	T	0.0342846
RN00334078	ARID3B	cg05932230	T	0.87743
RN00334078	ARID1B	cg05935476	T	0.824301
RN00334078	MDM2	cg05953180	T	0.0251321
RN00334078	CTCF	cg05966228	T	0.432805
RN00334078	CREBBP	cg05985663	T	0.0505415
RN00334078	MET	cg05997059	T	0.946708
RN00334078	MET	cg05999287	T	0.0334671
RN00334078	BRCA1	cg06001716	T	0.463671
RN00334078	ARID1B	cg06012428	T	0.921923
RN00334078	ARID1B	cg06019273	T	0.951191
RN00334078	MAP2K4	cg06022181	T	0.909105
RN00334078	FLJ45983	cg06022942	T	0.0370973
RN00334078	ARID1B	cg06040838	T	0.386547
RN00334078	EGFR	cg06052090	T	0.781734
RN00334078	ATM	cg06053805	T	0.0230453
RN00334078	IGF1R	cg06063519	T	0.705787
RN00334078	IGF1R	cg06075167	T	0.974234
RN00334078	NEUROD2	cg06081306	T	0.116058
RN00334078	ATM	cg06081482	T	0.138319
RN00334078	CDH1	cg06085527	T	0.883912
RN00334078	ARID1B	cg06108288	T	0.951541
RN00334078	ERBB2	cg06185555	T	0.638789
RN00334078	IGF1R	cg06199070	T	0.114635
RN00334078	ARID1B	cg06203243	T	0.823835
RN00334078	FLJ45983	cg06230736	T	0.0361927
RN00334078	CREBBP	cg06234781	T	0.629376
RN00334078	CTCF	cg06241380	T	0.0310993
RN00334078	EGFR-AS1	cg06255986	T	0.365315
RN00334078	ARID1A	cg06278181	T	0.641754
RN00334078	AKT1	cg06298933	T	0.305032
RN00334078	EGFR	cg06308431	T	0.960267
RN00334078	TP53	cg06317056	T	0.0449103
RN00334078	IGF1R	cg06331862	T	0.920202
RN00334078	TP53	cg06365412	T	0.903647
RN00334078	CREBBP	cg06365577	T	0.750775
RN00334078	PTEN	cg06426483	T	0.909885
RN00334078	CTCF	cg06445873	T	0.960796
RN00334078	PTEN	cg06466203	T	0.0293518
RN00334078	ELDR	cg06474449	T	0.942339
RN00334078	EGFR-AS1	cg06520845	T	0.965601
RN00334078	AKT1	cg06530015	T	0.832682
RN00334078	CCND1	cg06539449	T	0.523472
RN00334078	GATA3	cg06540372	T	0.285621
RN00334078	ERBB3	cg06543683	T	0.94419
RN00334078	PTEN	cg06573569	T	0.874927
RN00334078	WRAP53	cg06587969	T	0.0286586
RN00334078	IGF1R	cg06596307	T	0.965546
RN00334078	ALK	cg06611768	T	0.425062
RN00334078	CREBBP	cg06614534	T	0.916937
RN00334078	ARID1B	cg06634471	T	0.163571
RN00334078	CREBBP	cg06642158	T	0.925513
RN00334078	NOTCH3	cg06650786	T	0.166045
RN00334078	RAF1	cg06668495	T	0.95686
RN00334078	EGFR-AS1	cg06669370	T	0.87621
RN00334078	IGF1R	cg06671623	T	0.742645
RN00334078	EGFR	cg06677446	T	0.959171
RN00334078	CREBBP	cg06716922	T	0.958842
RN00334078	IGF1R	cg06725120	T	0.852732
RN00334078	PTEN	cg06731059	T	0.0191468
RN00334078	CCND1	cg06741896	T	0.381796
RN00334078	ATM	cg06750635	T	0.0211707
RN00334078	9.Mar	cg06761203	T	0.290771
RN00334078	ARID1B	cg06785293	T	0.588799
RN00334078	ARID1B	cg06824423	T	0.156941
RN00334078	CTCF	cg06829695	T	0.902233
RN00334078	AKT1	cg06829901	T	0.633648
RN00334078	RAD51C	cg06855092	T	0.87707
RN00334078	NEUROD2	cg06865992	T	0.0875394
RN00334078	ERBB2	cg06868592	T	0.104457
