chromosome	start_pos	end_pos	gene	log2	cn	depth	probes	weight	sample_id
chr3	722278	90311186	ACVR2B	-0.0424634	2	80.1452	8096	2456.09	RN06641462
chr3	722278	90311186	MLH1	-0.0424634	2	80.1452	8096	2456.09	RN06641462
chr3	722278	90311186	RAF1	-0.0424634	2	80.1452	8096	2456.09	RN06641462
chr3	722278	90311186	CDC25A	-0.0424634	2	80.1452	8096	2456.09	RN06641462
chr3	722278	90311186	FANCD2	-0.0424634	2	80.1452	8096	2456.09	RN06641462
chr3	722278	90311186	BAP1	-0.0424634	2	80.1452	8096	2456.09	RN06641462
chr3	722278	90311186	RASSF1	-0.0424634	2	80.1452	8096	2456.09	RN06641462
chr3	722278	90311186	DLEC1	-0.0424634	2	80.1452	8096	2456.09	RN06641462
chr3	722278	90311186	TGFBR2	-0.0424634	2	80.1452	8096	2456.09	RN06641462
chr3	93519633	197500475	ATR	-0.105035	2	68.2585	8528	2576.66	RN06641462
chr3	93519633	197500475	BTLA	-0.105035	2	68.2585	8528	2576.66	RN06641462
chr3	93519633	197500475	TERC	-0.105035	2	68.2585	8528	2576.66	RN06641462
chr3	93519633	197500475	EIF5A2	-0.105035	2	68.2585	8528	2576.66	RN06641462
chr3	93519633	197500475	TIGIT	-0.105035	2	68.2585	8528	2576.66	RN06641462
chr3	93519633	197500475	PIK3CA	-0.105035	2	68.2585	8528	2576.66	RN06641462
chr3	93519633	197500475	DTX3L	-0.105035	2	68.2585	8528	2576.66	RN06641462
chr3	93519633	197500475	HES1	-0.105035	2	68.2585	8528	2576.66	RN06641462
chr3	93519633	197500475	GSK3B	-0.105035	2	68.2585	8528	2576.66	RN06641462
chr4	672447	49063323	FGFR3	-0.0791437	2	68.8439	3375	1051.82	RN06641462
chr4	672447	49063323	RBPJ	-0.0791437	2	68.8439	3375	1051.82	RN06641462
chr4	672447	49063323	CTBP1	-0.0791437	2	68.8439	3375	1051.82	RN06641462
chr4	52660617	190981567	KIT	-0.155204	2	58.5059	8142	2592.62	RN06641462
chr4	52660617	190981567	CXCL8	-0.155204	2	58.5059	8142	2592.62	RN06641462
chr4	52660617	190981567	FBXW7	-0.155204	2	58.5059	8142	2592.62	RN06641462
chr4	52660617	190981567	BMP3	-0.155204	2	58.5059	8142	2592.62	RN06641462
chr4	52660617	190981567	PDGFRA	-0.155204	2	58.5059	8142	2592.62	RN06641462
chr4	52660617	190981567	CASP3	-0.155204	2	58.5059	8142	2592.62	RN06641462
chr4	52660617	190981567	EIF4E	-0.155204	2	58.5059	8142	2592.62	RN06641462
chr4	52660617	190981567	BMPR1B	-0.155204	2	58.5059	8142	2592.62	RN06641462
chr4	52660617	190981567	NFKB1	-0.155204	2	58.5059	8142	2592.62	RN06641462
chr4	52660617	190981567	SMAD1	-0.155204	2	58.5059	8142	2592.62	RN06641462
chr4	52660617	190981567	CASP6	-0.155204	2	58.5059	8142	2592.62	RN06641462
chr4	52660617	190981567	KDR	-0.155204	2	58.5059	8142	2592.62	RN06641462
chr4	52660617	190981567	MAML3	-0.155204	2	58.5059	8142	2592.62	RN06641462
chr5	864520	17757386	TERT	-0.0381329	2	64.6676	977	319.811	RN06641462
chr5	17757386	41762338	DAB2	0.293629	2	63.1578	1273	415.31	RN06641462
chr5	17757386	41762338	RICTOR	0.293629	2	63.1578	1273	415.31	RN06641462
chr5	49555074	69361914	CCNB1	-0.134112	2	55.5814	1258	390.763	RN06641462
chr5	49555074	69361914	PIK3R1	-0.134112	2	55.5814	1258	390.763	RN06641462
chr5	49555074	69361914	MAP3K1	-0.134112	2	55.5814	1258	390.763	RN06641462
chr5	70819803	180046774	SMAD5	-0.108874	2	73.0751	8813	2676.8	RN06641462
chr5	70819803	180046774	RAD50	-0.108874	2	73.0751	8813	2676.8	RN06641462
chr5	70819803	180046774	CSF1R	-0.108874	2	73.0751	8813	2676.8	RN06641462
chr5	70819803	180046774	HAVCR2	-0.108874	2	73.0751	8813	2676.8	RN06641462
chr5	70819803	180046774	FGF1	-0.108874	2	73.0751	8813	2676.8	RN06641462
chr5	70819803	180046774	MAPK9	-0.108874	2	73.0751	8813	2676.8	RN06641462
chr5	70819803	180046774	SPARC	-0.108874	2	73.0751	8813	2676.8	RN06641462
chr5	70819803	180046774	PDGFRB	-0.108874	2	73.0751	8813	2676.8	RN06641462
chr5	70819803	180046774	MAML1	-0.108874	2	73.0751	8813	2676.8	RN06641462
chr6	488899	58745455	VEGFA	-0.0328123	2	88.7334	7129	2056.42	RN06641462
chr6	488899	58745455	E2F3	-0.0328123	2	88.7334	7129	2056.42	RN06641462
chr6	488899	58745455	BMP5	-0.0328123	2	88.7334	7129	2056.42	RN06641462
chr6	488899	58745455	MAPK14	-0.0328123	2	88.7334	7129	2056.42	RN06641462
chr6	488899	58745455	CDKN1A	-0.0328123	2	88.7334	7129	2056.42	RN06641462
chr6	488899	58745455	MDC1	-0.0328123	2	88.7334	7129	2056.42	RN06641462
chr6	488899	58745455	HLA-G	-0.0328123	2	88.7334	7129	2056.42	RN06641462
chr6	488899	58745455	FANCE	-0.0328123	2	88.7334	7129	2056.42	RN06641462
chr6	488899	58745455	NOTCH4	-0.0328123	2	88.7334	7129	2056.42	RN06641462
chr6	488899	58745455	BMP6	-0.0328123	2	88.7334	7129	2056.42	RN06641462
chr6	61944508	170151835	PLAGL1	-0.801196	1	55.7138	7262	2274.29	RN06641462
chr6	61944508	170151835	ESR1	-0.801196	1	55.7138	7262	2274.29	RN06641462
chr6	61944508	170151835	MAP3K5	-0.801196	1	55.7138	7262	2274.29	RN06641462
chr6	61944508	170151835	FOXO3	-0.801196	1	55.7138	7262	2274.29	RN06641462
chr6	61944508	170151835	HEY2	-0.801196	1	55.7138	7262	2274.29	RN06641462
chr6	61944508	170151835	MAP3K4	-0.801196	1	55.7138	7262	2274.29	RN06641462
chr6	61944508	170151835	HDAC2	-0.801196	1	55.7138	7262	2274.29	RN06641462
chr6	61944508	170151835	RPS6KA2	-0.801196	1	55.7138	7262	2274.29	RN06641462
chr6	170153308	171054567	DLL1	0.414445	3	88.5237	83	24.3419	RN06641462
chr7	10500	939869	PDGFA	0.638506	3	106.029	111	31.2225	RN06641462
chr7	940145	57472154	LFNG	-0.048923	2	70.3469	4458	1345.84	RN06641462
chr7	940145	57472154	EGFR	-0.048923	2	70.3469	4458	1345.84	RN06641462
chr7	940145	57472154	PMS2	-0.048923	2	70.3469	4458	1345.84	RN06641462
chr7	940145	57472154	INHBA	-0.048923	2	70.3469	4458	1345.84	RN06641462
chr7	61657308	99578490	DTX2	-0.116492	2	70.5481	3014	883.801	RN06641462
chr7	61657308	99578490	CDK6	-0.116492	2	70.5481	3014	883.801	RN06641462
chr7	102109978	141734231	BRAF	-0.0267423	2	69.6835	3377	1021.97	RN06641462
chr7	102109978	141734231	PIK3CG	-0.0267423	2	69.6835	3377	1021.97	RN06641462
chr7	102109978	141734231	MET	-0.0267423	2	69.6835	3377	1021.97	RN06641462
chr7	141816670	157926807	RHEB	-0.0760803	2	88.2371	1829	533.001	RN06641462
chr7	141816670	157926807	CUL1	-0.0760803	2	88.2371	1829	533.001	RN06641462
chr8	494614	43398986	WRN	-0.161931	2	72.3123	3528	1066.51	RN06641462
chr8	494614	43398986	FGFR1	-0.161931	2	72.3123	3528	1066.51	RN06641462
chr8	494614	43398986	EIF4EBP1	-0.161931	2	72.3123	3528	1066.51	RN06641462
chr8	47458041	119123328	NBN	-0.124486	2	55.7561	3956	1275.95	RN06641462
chr8	47458041	119123328	HEY1	-0.124486	2	55.7561	3956	1275.95	RN06641462
chr8	47458041	119123328	E2F5	-0.124486	2	55.7561	3956	1275.95	RN06641462
chr8	47458041	119123328	MMP16	-0.124486	2	55.7561	3956	1275.95	RN06641462
chr8	119123828	145537993	PTK2	0.0771533	2	81.2675	2224	675.595	RN06641462
chr8	119123828	145537993	MYC	0.0771533	2	81.2675	2224	675.595	RN06641462
chr9	841846	47317179	RPS6	-0.0414216	2	72.0981	2813	880.916	RN06641462
chr9	841846	47317179	CDKN2A	-0.0414216	2	72.0981	2813	880.916	RN06641462
chr9	841846	47317179	CDKN2B	-0.0414216	2	72.0981	2813	880.916	RN06641462
chr9	841846	47317179	FANCG	-0.0414216	2	72.0981	2813	880.916	RN06641462
chr9	841846	47317179	JAK2	-0.0414216	2	72.0981	2813	880.916	RN06641462
chr9	65468179	130052900	FANCC	-0.0137134	2	72.6204	5149	1564.39	RN06641462
chr9	65468179	130052900	TGFBR1	-0.0137134	2	72.6204	5149	1564.39	RN06641462
chr9	130053400	140611689	TSC1	-0.177645	2	104.248	2919	783.759	RN06641462
chr9	130053400	140611689	NRARP	-0.177645	2	104.248	2919	783.759	RN06641462
chr9	130053400	140611689	ARRDC1	-0.177645	2	104.248	2919	783.759	RN06641462
chr9	130053400	140611689	NOTCH1	-0.177645	2	104.248	2919	783.759	RN06641462
chr10	42379856	134886682	MAPK8	-0.0491763	2	75.2771	8389	2498.86	RN06641462
chr10	42379856	134886682	PTEN	-0.0491763	2	75.2771	8389	2498.86	RN06641462
chr10	42379856	134886682	BMPR1A	-0.0491763	2	75.2771	8389	2498.86	RN06641462
chr10	42379856	134886682	CTBP2	-0.0491763	2	75.2771	8389	2498.86	RN06641462
chr10	42379856	134886682	FGFR2	-0.0491763	2	75.2771	8389	2498.86	RN06641462
chr10	42379856	134886682	MMP21	-0.0491763	2	75.2771	8389	2498.86	RN06641462
chr10	42379856	134886682	CASP7	-0.0491763	2	75.2771	8389	2498.86	RN06641462
chr10	42379856	134886682	NFKB2	-0.0491763	2	75.2771	8389	2498.86	RN06641462
chr10	42379856	134886682	CDK1	-0.0491763	2	75.2771	8389	2498.86	RN06641462
chr10	42379856	134886682	CHUK	-0.0491763	2	75.2771	8389	2498.86	RN06641462
chr10	42379856	134886682	GDF2	-0.0491763	2	75.2771	8389	2498.86	RN06641462
chr10	42379856	134886682	FAS	-0.0491763	2	75.2771	8389	2498.86	RN06641462
chr11	60500	1283106	HRAS	0.544236	3	144.866	584	154.211	RN06641462
chr11	4153512	6231531	MMP26	0.397417	3	114.431	418	123.648	RN06641462
chr11	6231531	51566742	FANCF	-0.0239881	2	78.5793	4052	1219.04	RN06641462
chr11	6231531	51566742	E2F8	-0.0239881	2	78.5793	4052	1219.04	RN06641462
chr11	6231531	51566742	PIK3C2A	-0.0239881	2	78.5793	4052	1219.04	RN06641462
chr11	55035774	61912339	DTX4	0.133414	2	99.5682	1253	351.075	RN06641462
chr11	61912511	65266501	BAD	-0.211899	2	109.135	1272	344.553	RN06641462
chr11	61912511	65266501	VEGFB	-0.211899	2	109.135	1272	344.553	RN06641462
chr11	67190801	123813946	FOLR1	-0.0132611	2	79.1805	5677	1675.09	RN06641462
chr11	67190801	123813946	MMP12	-0.0132611	2	79.1805	5677	1675.09	RN06641462
chr11	67190801	123813946	MMP3	-0.0132611	2	79.1805	5677	1675.09	RN06641462
chr11	67190801	123813946	CCND1	-0.0132611	2	79.1805	5677	1675.09	RN06641462
chr11	67190801	123813946	FOLR2	-0.0132611	2	79.1805	5677	1675.09	RN06641462
chr11	67190801	123813946	EMSY	-0.0132611	2	79.1805	5677	1675.09	RN06641462
chr11	67190801	123813946	GSTP1	-0.0132611	2	79.1805	5677	1675.09	RN06641462
chr11	67190801	123813946	MAML2	-0.0132611	2	79.1805	5677	1675.09	RN06641462
chr11	67190801	123813946	MMP27	-0.0132611	2	79.1805	5677	1675.09	RN06641462
chr11	67190801	123813946	FOLR3	-0.0132611	2	79.1805	5677	1675.09	RN06641462
chr11	67190801	123813946	MMP1	-0.0132611	2	79.1805	5677	1675.09	RN06641462
chr11	67190801	123813946	MMP10	-0.0132611	2	79.1805	5677	1675.09	RN06641462
chr11	67190801	123813946	RPS6KB2	-0.0132611	2	79.1805	5677	1675.09	RN06641462
chr11	67190801	123813946	IZUMO1R	-0.0132611	2	79.1805	5677	1675.09	RN06641462
chr11	67190801	123813946	MMP7	-0.0132611	2	79.1805	5677	1675.09	RN06641462
chr11	67190801	123813946	ATM	-0.0132611	2	79.1805	5677	1675.09	RN06641462
chr11	67190801	123813946	MMP13	-0.0132611	2	79.1805	5677	1675.09	RN06641462
chr11	124495504	132290179	CHEK1	-0.026586	2	86.4433	747	220.857	RN06641462
chr11	124495504	132290179	OPCML	-0.026586	2	86.4433	747	220.857	RN06641462
chr11	132290679	134946016	OPCML	0.553565	3	91.8878	183	56.6258	RN06641462
chr12	176059	752910	KDM5A	0.788492	3	110.03	140	39.4755	RN06641462
chr12	753070	34431528	PIK3C2G	-0.236124	2	73.4701	3764	1082.42	RN06641462
chr12	753070	34431528	KRAS	-0.236124	2	73.4701	3764	1082.42	RN06641462
chr12	753070	34431528	CCND2	-0.236124	2	73.4701	3764	1082.42	RN06641462
chr12	753070	34431528	CDKN1B	-0.236124	2	73.4701	3764	1082.42	RN06641462
chr12	753070	34431528	LAG3	-0.236124	2	73.4701	3764	1082.42	RN06641462
chr12	37857194	132854002	ACVR1B	-0.128008	2	79.8465	11039	3178.32	RN06641462
chr12	37857194	132854002	ACVRL1	-0.128008	2	79.8465	11039	3178.32	RN06641462
chr12	37857194	132854002	INHBE	-0.128008	2	79.8465	11039	3178.32	RN06641462
chr12	37857194	132854002	MMP17	-0.128008	2	79.8465	11039	3178.32	RN06641462
chr12	37857194	132854002	IGF1	-0.128008	2	79.8465	11039	3178.32	RN06641462
chr12	37857194	132854002	E2F7	-0.128008	2	79.8465	11039	3178.32	RN06641462
chr12	37857194	132854002	ERBB3	-0.128008	2	79.8465	11039	3178.32	RN06641462
chr12	37857194	132854002	APAF1	-0.128008	2	79.8465	11039	3178.32	RN06641462
chr12	37857194	132854002	NCOR2	-0.128008	2	79.8465	11039	3178.32	RN06641462
chr12	37857194	132854002	CDK4	-0.128008	2	79.8465	11039	3178.32	RN06641462
chr12	37857194	132854002	DTX1	-0.128008	2	79.8465	11039	3178.32	RN06641462
chr12	37857194	132854002	STAT2	-0.128008	2	79.8465	11039	3178.32	RN06641462
chr12	37857194	132854002	GDF11	-0.128008	2	79.8465	11039	3178.32	RN06641462
chr12	37857194	132854002	INHBC	-0.128008	2	79.8465	11039	3178.32	RN06641462
chr12	37857194	132854002	MDM2	-0.128008	2	79.8465	11039	3178.32	RN06641462
chr12	37857194	132854002	DTX3	-0.128008	2	79.8465	11039	3178.32	RN06641462
chr12	37857194	132854002	CDK2	-0.128008	2	79.8465	11039	3178.32	RN06641462
chr12	37857194	132854002	MMP19	-0.128008	2	79.8465	11039	3178.32	RN06641462
chr13	31035658	114150297	CCNA1	-0.110844	2	58.0943	4285	1409.43	RN06641462
chr13	31035658	114150297	ARL11	-0.110844	2	58.0943	4285	1409.43	RN06641462
chr13	31035658	114150297	SMAD9	-0.110844	2	58.0943	4285	1409.43	RN06641462
chr13	31035658	114150297	FOXO1	-0.110844	2	58.0943	4285	1409.43	RN06641462
chr13	31035658	114150297	RB1	-0.110844	2	58.0943	4285	1409.43	RN06641462
chr13	31035658	114150297	BRCA2	-0.110844	2	58.0943	4285	1409.43	RN06641462
chr14	22965799	80328349	SNW1	-0.0942822	2	76.2406	5651	1675.77	RN06641462
chr14	22965799	80328349	TGFB3	-0.0942822	2	76.2406	5651	1675.77	RN06641462
chr14	22965799	80328349	BMP4	-0.0942822	2	76.2406	5651	1675.77	RN06641462
chr14	22965799	80328349	NUMB	-0.0942822	2	76.2406	5651	1675.77	RN06641462
chr14	22965799	80328349	FANCM	-0.0942822	2	76.2406	5651	1675.77	RN06641462
chr14	22965799	80328349	MMP14	-0.0942822	2	76.2406	5651	1675.77	RN06641462
chr14	22965799	80328349	HIF1A	-0.0942822	2	76.2406	5651	1675.77	RN06641462
chr14	22965799	80328349	RAD51B	-0.0942822	2	76.2406	5651	1675.77	RN06641462
chr14	22965799	80328349	PSEN1	-0.0942822	2	76.2406	5651	1675.77	RN06641462
chr14	80668602	105912185	AKT1	-0.0605093	2	79.0494	2592	765.641	RN06641462
chr14	80668602	105912185	JAG2	-0.0605093	2	79.0494	2592	765.641	RN06641462
chr15	20044632	65773945	MAPK6	-0.0721967	2	81.6152	5630	1579.96	RN06641462
chr15	20044632	65773945	TP53BP1	-0.0721967	2	81.6152	5630	1579.96	RN06641462
chr15	20044632	65773945	DLL4	-0.0721967	2	81.6152	5630	1579.96	RN06641462
chr15	20044632	65773945	RAD51	-0.0721967	2	81.6152	5630	1579.96	RN06641462
chr15	20044632	65773945	ADAM10	-0.0721967	2	81.6152	5630	1579.96	RN06641462
chr15	20044632	65773945	APH1B	-0.0721967	2	81.6152	5630	1579.96	RN06641462
chr15	20044632	65773945	CYP19A1	-0.0721967	2	81.6152	5630	1579.96	RN06641462
chr15	65777328	82906113	MAP2K5	0.0582128	2	83.7657	2312	660.759	RN06641462
chr15	65777328	82906113	MAP2K1	0.0582128	2	83.7657	2312	660.759	RN06641462
chr15	65777328	82906113	SMAD3	0.0582128	2	83.7657	2312	660.759	RN06641462
chr15	65777328	82906113	SMAD6	0.0582128	2	83.7657	2312	660.759	RN06641462
chr15	83205585	101817624	IGF1R	0.0357106	2	81.5575	1653	505.376	RN06641462
chr15	83205585	101817624	FANCI	0.0357106	2	81.5575	1653	505.376	RN06641462
chr15	83205585	101817624	BLM	0.0357106	2	81.5575	1653	505.376	RN06641462
chr16	1399853	15835529	PDPK1	-0.204226	2	97.7927	2255	629.352	RN06641462
chr16	1399853	15835529	MMP25	-0.204226	2	97.7927	2255	629.352	RN06641462
chr16	1399853	15835529	MLST8	-0.204226	2	97.7927	2255	629.352	RN06641462
chr16	1399853	15835529	TSC2	-0.204226	2	97.7927	2255	629.352	RN06641462
chr16	22111538	31575333	PALB2	-0.225138	2	105.075	1912	526.066	RN06641462
chr16	22111538	31575333	MAPK3	-0.225138	2	105.075	1912	526.066	RN06641462
chr16	46457168	70874121	MMP15	-0.0167673	2	89.2581	2972	855.117	RN06641462
chr16	46457168	70874121	MMP2	-0.0167673	2	89.2581	2972	855.117	RN06641462
chr16	46457168	70874121	E2F4	-0.0167673	2	89.2581	2972	855.117	RN06641462
chr16	46457168	70874121	RBL2	-0.0167673	2	89.2581	2972	855.117	RN06641462
chr16	46457168	70874121	CDH1	-0.0167673	2	89.2581	2972	855.117	RN06641462
chr16	71212770	89894436	WWOX	-0.032188	2	89.7657	2149	624.087	RN06641462
chr16	71212770	89894436	FANCA	-0.032188	2	89.7657	2149	624.087	RN06641462
chr17	1029269	2935771	DPH1	-0.779598	1	91.6867	455	125.87	RN06641462
chr17	1029269	2935771	RPA1	-0.779598	1	91.6867	455	125.87	RN06641462
chr17	3343468	9705921	TP53	-0.558529	1	100.33	2063	561.63	RN06641462
chr17	3343468	9705921	HES7	-0.558529	1	100.33	2063	561.63	RN06641462
chr17	9710705	22220573	MAPK7	-0.287996	2	87.096	1749	480.255	RN06641462
chr17	9710705	22220573	MAP2K4	-0.287996	2	87.096	1749	480.255	RN06641462
chr17	9710705	22220573	MAP2K3	-0.287996	2	87.096	1749	480.255	RN06641462
chr17	25268559	39140496	MMP28	-0.39476	2	87.3938	2723	742.98	RN06641462
chr17	25268559	39140496	RAD51D	-0.39476	2	87.3938	2723	742.98	RN06641462
chr17	25268559	39140496	CDK12	-0.39476	2	87.3938	2723	742.98	RN06641462
chr17	25268559	39140496	NF1	-0.39476	2	87.3938	2723	742.98	RN06641462
chr17	25268559	39140496	ERBB2	-0.39476	2	87.3938	2723	742.98	RN06641462
chr17	39464002	73568148	BRIP1	-0.357302	2	87.3338	5557	1542.21	RN06641462
chr17	39464002	73568148	BRCA1	-0.357302	2	87.3338	5557	1542.21	RN06641462
chr17	39464002	73568148	RPS6KB1	-0.357302	2	87.3338	5557	1542.21	RN06641462
chr17	39464002	73568148	STAT3	-0.357302	2	87.3338	5557	1542.21	RN06641462
chr17	39464002	73568148	MAP3K3	-0.357302	2	87.3338	5557	1542.21	RN06641462
chr17	39464002	73568148	RAD51C	-0.357302	2	87.3338	5557	1542.21	RN06641462
chr17	39464002	73568148	STAT5B	-0.357302	2	87.3338	5557	1542.21	RN06641462
chr17	39464002	73568148	STAT5A	-0.357302	2	87.3338	5557	1542.21	RN06641462
chr17	39464002	73568148	ITGB3	-0.357302	2	87.3338	5557	1542.21	RN06641462
chr17	73569042	79419108	RPTOR	-0.703107	1	95.5179	1490	405.091	RN06641462
chr17	79419653	80724272	RFNG	-0.302503	2	113.005	523	137.459	RN06641462
chr18	18520842	76874980	MAPK4	-0.0809126	2	61.7255	3275	1058.6	RN06641462
chr18	18520842	76874980	SMAD4	-0.0809126	2	61.7255	3275	1058.6	RN06641462
chr18	18520842	76874980	SMAD7	-0.0809126	2	61.7255	3275	1058.6	RN06641462
chr18	18520842	76874980	BCL2	-0.0809126	2	61.7255	3275	1058.6	RN06641462
chr18	18520842	76874980	SMAD2	-0.0809126	2	61.7255	3275	1058.6	RN06641462
chr19	920645	8993473	STK11	-0.429089	1	105.754	2531	674.221	RN06641462
chr19	920645	8993473	MAP2K2	-0.429089	1	105.754	2531	674.221	RN06641462
chr19	12543147	15662255	NOTCH3	-0.272776	2	111.386	1014	271.909	RN06641462
chr19	16130520	20001790	GDF1	-0.406298	2	107.123	1303	347.222	RN06641462
chr19	16130520	20001790	PIK3R2	-0.406298	2	107.123	1303	347.222	RN06641462
chr19	28263182	44351323	DLL3	-0.106933	2	104.716	3308	901.559	RN06641462
chr19	28263182	44351323	TGFB1	-0.106933	2	104.716	3308	901.559	RN06641462
chr19	28263182	44351323	CCNE1	-0.106933	2	104.716	3308	901.559	RN06641462
chr19	28263182	44351323	PSENEN	-0.106933	2	104.716	3308	901.559	RN06641462
chr19	28263182	44351323	AKT2	-0.106933	2	104.716	3308	901.559	RN06641462
chr19	28263182	44351323	NUMBL	-0.106933	2	104.716	3308	901.559	RN06641462
chr19	28263182	44351323	XRCC1	-0.106933	2	104.716	3308	901.559	RN06641462
chr19	45207303	50823714	AKT1S1	-0.52629	1	105.012	1971	522.822	RN06641462
chr19	56171868	57646472	PEG3	0.0257531	2	106.193	315	85.5695	RN06641462
chr20	1184064	26188389	BMP2	-0.0604979	2	75.1204	2056	628.381	RN06641462
chr20	1184064	26188389	JAG1	-0.0604979	2	75.1204	2056	628.381	RN06641462
chr20	29420069	35776375	MMP24	-0.164659	2	91.7869	1317	360.802	RN06641462
chr20	29420069	35776375	BCL2L1	-0.164659	2	91.7869	1317	360.802	RN06641462
chr20	29420069	35776375	RBL1	-0.164659	2	91.7869	1317	360.802	RN06641462
chr20	29420069	35776375	E2F1	-0.164659	2	91.7869	1317	360.802	RN06641462
